i,a,c,c - a,k,x,w,v,yx,yw,yv,y1,y2
1,6,9.9,3.9,0.0,7.95,7.95,7.95,-0.8168,-0.8168,-0.8168,-0.706,0.224
2,7.95,9.9,1.95,2.0,7.95,7.2052,7.95,-0.8168,-0.7718,-0.8168,-0.8168,0.224
3,7.95,9.9,1.95,1.0,8.6948,7.95,7.2052,-0.846,-0.8168,-0.7718,-0.8168,0.224
4,7.95,8.6948,0.7448,2.618,8.6948,7.95,-0.7718,-0.846,-0.8168,-0.7718,-0.8168,-0.846
