i,a,c,c - a,k,x,w,v,yx,yw,yv,y1,y2
1,0,6.28,6.28,0.0,3.14,3.14,3.14,-6.667,-6.667,-6.667,1.0,18.8399
2,3.14,6.28,3.14,2.0,3.14,1.9406,3.14,-6.667,-5.7626,-6.667,-6.667,18.8399
