i,x1,x2,x3,x3 - x1,k,y1,y2,y3
1,0,3.14,6.28,6.28,0.0,1.0,-6.667,18.8399
2,0,2.2957,3.14,3.14,2.0,1.0,-6.7986,-6.667
3,2.2957,2.649,3.14,0.8443,3.7191,-6.7986,-7.2644,-6.667
4,2.649,2.6919,3.14,0.491,1.7195,-7.2644,-7.2737,-6.667
5,2.6919,2.7045,3.14,0.4481,1.0958,-7.2737,-7.2743,-6.667
6,2.7045,2.706,3.14,0.4355,1.0289,-7.2743,-7.2744,-6.667
7,2.706,2.7064,3.14,0.434,1.0036,-7.2744,-7.2744,-6.667
8,2.7064,2.7065,3.14,0.4336,1.0009,-7.2744,-7.2744,-6.667
9,2.7065,2.7065,3.14,0.4335,1.0001,-7.2744,-7.2744,-6.667
10,2.7065,2.7065,3.14,0.4335,1.0,-7.2744,-7.2744,-6.667
11,2.7065,2.7065,3.14,0.4335,1.0,-7.2744,-7.2744,-6.667
12,2.7065,2.7065,3.14,0.4335,1.0,-7.2744,-7.2744,-6.667
